YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,NRSNG_VISITS_CNT,MSW_VISITS_CNT,AIDE_VISITS_CNT,TOT_NRSNG_MNTS,HOSPC_RHC_DAYS_PCT
2023,FY,PROVIDER,HOS,971531,Myfamily Hospice Llc,Stafford,TX,77477,54,55,8532,2050966,1431224,1431224,1459933,33,*,87,43,57,33,*,59,*,0,0,0,2.40,0,*,0,0,64,0,*,*,0,0,0,0,*,0,0,1486,205,2468,87570,100
2023,FY,PROVIDER,HOS,971532,Serenity Hospice Solutions,Houston,TX,77060,45,49,4443,1080612,753776,753776,779787,56,0,81,38,62,27,51,*,*,0,0,0,2.70,0,*,0,*,37,0,24,*,*,0,*,0,0,0,0,833,167,1471,65715,100
2023,FY,PROVIDER,HOS,971534,Hopestone Hospice And Palliative Care Llc,Grapevine,TX,76051,192,203,10461,2932321,1891092,1891092,1947779,52,7,80,33,67,70,16,*,10,0,0,*,2.72,*,14,7,0,38,0,28,10,*,*,*,0,0,*,0,3174,547,4346,163155,99
2023,FY,PROVIDER,HOS,971535,Nosotros Hospice,San Antonio,TX,78230,615,703,78216,41030081,12189007,12189007,13714742,44,*,77,39,61,45,7,*,46,0,*,*,2.84,*,6,12,0,32,0,37,10,2,*,*,*,*,*,*,18595,1279,18656,1006740,99
2023,FY,PROVIDER,HOS,971536,Transcend Hospice,San Antonio,TX,78232,118,125,12004,2978760,1866994,1866994,2065420,24,11,80,43,57,54,*,0,37,0,*,0,2.43,0,*,*,0,27,0,49,11,*,0,0,0,0,0,0,2010,409,4809,114570,100
2023,FY,PROVIDER,HOS,971537,Sovereign Hospice Inc,Aubrey,TX,76227,88,91,7450,1805754,1286719,1286719,1340184,13,0,84,38,63,65,22,*,*,0,*,*,2.67,*,22,*,0,23,0,38,*,*,0,*,0,0,0,0,1353,364,3972,75510,100
2023,FY,PROVIDER,HOS,971538,Aasta Hospice,San Antonio,TX,78213,58,63,7240,1892809,1134217,1134217,1277138,31,0,81,52,48,36,*,*,52,0,0,*,2.32,0,*,*,0,24,0,41,*,*,0,*,0,0,0,0,1442,304,1975,92160,100
2023,FY,PROVIDER,HOS,971539,Wkm Hospice Llc,Granbury,TX,76049,34,35,3021,808600,554615,554615,565060,*,*,80,59,41,85,*,0,*,0,0,0,2.54,0,*,0,0,34,0,*,*,0,0,*,0,0,0,0,665,108,1439,34470,98
2023,FY,PROVIDER,HOS,971540,Caring Hands,San Antonio,TX,78229,125,140,15812,3776243,2457663,2457663,2762630,28,*,78,39,61,64,*,*,26,0,0,*,2.69,0,*,*,0,35,0,36,14,*,0,*,0,0,0,*,2539,392,4600,107670,100
2023,FY,PROVIDER,HOS,971541,Bluevine Hospice,Houston,TX,77036,14,14,476,110800,83837,83837,83866,*,0,77,*,*,*,*,0,*,0,0,0,3.75,0,*,*,0,*,0,*,*,0,0,0,0,0,0,0,73,21,101,4935,100
2023,FY,PROVIDER,HOS,971542,Armonia Hospice Llc,El Paso,TX,79912,160,164,20087,5031398,3050096,3050096,3494239,45,*,84,34,66,21,0,*,78,*,0,0,3.63,*,18,0,0,52,0,14,*,*,*,*,*,*,0,0,4005,977,5317,183480,100
2023,FY,PROVIDER,HOS,971543,Journeys Hospice Of Texas Llc,San Antonio,TX,78217,76,78,8062,2077882,1265733,1265733,1424392,36,0,80,49,51,47,*,*,47,0,0,0,2.79,0,*,*,0,38,0,27,14,0,0,*,0,0,0,*,1314,294,3085,66840,100
2023,FY,PROVIDER,HOS,971544,Angels Care Hospice,San Angelo,TX,76904,55,61,5105,1037826,806752,806752,925346,31,24,81,51,49,67,*,0,31,0,*,0,2.71,0,*,*,0,30,0,38,*,*,0,*,0,0,0,0,1190,124,659,41985,99
2023,FY,PROVIDER,HOS,971545,Anchorage Hospice Inc.,San Antonio,TX,78230,59,63,10938,3782033,1642631,1642631,1849353,*,*,84,24,76,59,*,*,31,0,*,0,1.86,0,*,0,0,75,0,*,*,*,0,0,0,0,0,0,2215,242,2324,90630,100
2023,FY,PROVIDER,HOS,971546,Peace Of Mind Hospice,Humble,TX,77338,31,33,1249,271299,232186,232186,232278,*,0,77,45,55,45,39,0,*,0,*,0,3.61,0,*,0,0,39,0,*,*,*,0,*,0,0,0,0,234,88,476,14925,100
2023,FY,PROVIDER,HOS,971547,Four Winds Hospice Inc.,San Antonio,TX,78230,101,115,11950,5432000,1876430,1876430,2070602,57,0,77,41,59,39,13,*,48,0,*,0,2.92,0,*,*,0,23,0,57,11,*,0,*,0,0,0,0,1890,373,1307,75780,100
2023,FY,PROVIDER,HOS,971548,Stairways Hospice Inc,Dallas,TX,75238,13,15,939,250118,154349,154349,165944,*,0,80,*,*,*,*,*,*,0,0,0,2.55,0,*,0,0,*,0,*,*,0,0,0,0,0,0,0,183,24,447,10770,100
2023,FY,PROVIDER,HOS,971550,Sunrise Hospice Inc.,San Antonio,TX,78230,102,116,11413,5450866,1780784,1780784,1965378,53,0,78,43,57,34,*,*,55,0,0,0,3.53,0,*,*,0,34,0,40,10,*,0,*,0,*,0,0,2004,356,1840,107865,100
2023,FY,PROVIDER,HOS,971551,Comprehensive Hospice Care Inc,San Antonio,TX,78229,34,37,3277,765274,514027,514027,578227,*,0,80,53,47,41,*,*,35,0,*,0,1.86,0,38,*,0,38,0,*,*,0,0,*,0,0,0,0,726,64,374,39675,99
2023,FY,PROVIDER,HOS,971552,All Generations Health Care Inc,Edinburg,TX,78542,20,24,2570,579200,386617,386617,441476,*,0,85,*,*,*,0,0,85,0,*,0,3.28,0,*,0,0,46,0,*,*,*,0,0,0,0,0,0,560,87,168,33510,100
2023,FY,PROVIDER,HOS,971553,Atwell Home Health Services Inc.,Houston,TX,77081,13,13,951,202760,163862,163862,166749,*,0,73,*,*,0,92,0,0,0,*,*,3.22,0,0,*,0,0,0,*,*,0,0,0,0,0,0,0,148,0,*,8865,100
